DATE,PCEPI
2003-07-01,82.5216666666666667
2003-10-01,82.9003333333333333
2004-01-01,83.5886666666666667
2004-04-01,84.1616666666666667
2004-07-01,84.5863333333333333
2004-10-01,85.3086666666666667
2005-01-01,85.7950000000000000
2005-04-01,86.3103333333333333
2005-07-01,87.2320000000000000
2005-10-01,87.9130000000000000
2006-01-01,88.3583333333333333
2006-04-01,89.0683333333333333
2006-07-01,89.7106666666666667
2006-10-01,89.5593333333333333
2007-01-01,90.4060000000000000
2007-04-01,91.1393333333333333
2007-07-01,91.6526666666666667
2007-10-01,92.5530000000000000
2008-01-01,93.3290000000000000
2008-04-01,94.2890000000000000
2008-07-01,95.2653333333333333
2008-10-01,93.8363333333333333
2009-01-01,93.2733333333333333
2009-04-01,93.6926666666666667
2009-07-01,94.3400000000000000
2009-10-01,95.0696666666666667
2010-01-01,95.3950000000000000
2010-04-01,95.5026666666666667
2010-07-01,95.6710000000000000
2010-10-01,96.2503333333333333
2011-01-01,97.0913333333333333
2011-04-01,98.0476666666666667
2011-07-01,98.5233333333333333
2011-10-01,98.8593333333333333
2012-01-01,99.5376666666666667
2012-04-01,99.7763333333333333
2012-07-01,100.0620000000000000
2012-10-01,100.6240000000000000
2013-01-01,100.9820000000000000
2013-04-01,101.0573333333333333
2013-07-01,101.4663333333333333
2013-10-01,101.8803333333333333
2014-01-01,102.3570000000000000
2014-04-01,102.8466666666666667
2014-07-01,103.1233333333333333
2014-10-01,102.9920000000000000
2015-01-01,102.5516666666666667
2015-04-01,103.0566666666666667
2015-07-01,103.3226666666666667
2015-10-01,103.2430000000000000
2016-01-01,103.3250000000000000
2016-04-01,103.9440000000000000
2016-07-01,104.3660000000000000
2016-10-01,104.8470000000000000
2017-01-01,105.4213333333333333
2017-04-01,105.6543333333333333
2017-07-01,106.0843333333333333
2017-10-01,106.7756666666666667
2018-01-01,107.4850000000000000
2018-04-01,108.0806666666666667
2018-07-01,108.5013333333333333
2018-10-01,108.8890000000000000
2019-01-01,109.0423333333333333
2019-04-01,109.7260000000000000
2019-07-01,110.1080000000000000
2019-10-01,110.5293333333333333
2020-01-01,110.8826666666666667
2020-04-01,110.4346666666666667
